NAME,NETSTREAMS,SHED,NAMED,RECNUM,SEGID,SEGID_OLD,FROMNODE,TONODE,DOWNRMI,UPRMI,WRDS,STRAHLER,OBJECTID,SHAPE.LEN,Shape*
Casselman River,115737,19F,1,115737,38579_36.6461_36.997,38579_36.646_36.997,120511,120286,36.64608057,36.99704657,38579,4,114038,736.1632399,Polyline
Casselman River,115897,19F,1,115897,38579_44.2766_44.561,38579_44.2766_44.5609,122770,122573,44.2766299,44.56098563,38579,4,114181,595.9602854,Polyline
Casselman River,115902,19F,1,115902,38579_44.561_44.671,38579_44.5609_44.671,122849,122770,44.56098563,44.67102322,38579,3,114186,230.7582459,Polyline
Casselman River,115931,19F,1,115931,38579_44.671_46.4045,38579_44.671_46.4045,123863,122849,44.67102322,46.40451262,38579,2,114215,3632.550062,Polyline
Casselman River,115942,19F,1,115942,38579_46.4045_46.7917,38579_46.4045_46.7917,124069,123863,46.40451262,46.79171527,38579,2,114226,811.408484,Polyline
Casselman River,115957,19F,1,115957,38579_46.7917_47.5997,38579_46.7917_47.5997,124357,124069,46.79171527,47.59972871,38579,1,114241,1691.624518,Polyline
Casselman River,116040,19F,1,116040,38579_44.1835_44.2766,38579_44.1835_44.2766,122573,122552,44.18353836,44.2766299,38579,4,114290,194.6650791,Polyline
Casselman River,116041,19F,1,116041,38579_43.4815_44.1835,38579_43.4815_44.1835,122552,122277,43.4815171,44.18353836,38579,4,114291,1470.222376,Polyline
Casselman River,116081,19E,1,116081,38579_0_0.1303,38579_0_0.1303,119210,119144,0,0.130349409,38579,6,114331,273.149528,Polyline
Casselman River,115790,19F,1,115790,38579_36.997_39.3077,38579_36.997_39.3077,121306,120511,36.99704657,39.3077408,38579,4,114384,4842.895196,Polyline
Casselman River,115806,19F,1,115806,38579_39.3077_39.916,38579_39.3077_39.916,121577,121306,39.3077408,39.91603836,38579,4,114400,1275.08987,Polyline
Casselman River,115820,19F,1,115820,38579_39.916_40.0977,38579_39.916_40.0976,121712,121577,39.91603836,40.09766479,38579,4,114414,381.2461722,Polyline
Casselman River,115837,19F,1,115837,38579_40.5815_41.0206,38579_40.5815_41.0205,121743,121925,40.58151486,41.02056963,38579,4,114431,919.484218,Polyline
Casselman River,115860,19F,1,115860,38579_42.2855_43.4815,38579_42.2854_43.4815,122277,122141,42.28545052,43.4815171,38579,4,114435,2505.388086,Polyline
Casselman River,115841,19F,1,115841,38579_40.0977_40.5815,38579_40.0976_40.5815,121925,121712,40.09766479,40.58151486,38579,4,117116,1014.604119,Polyline
Casselman River,115843,19F,1,115843,38579_41.0206_41.7798,38579_41.0205_41.7798,121939,121743,41.02056963,41.77981529,38579,4,117118,1589.295316,Polyline
Casselman River,115853,19F,1,115853,38579_41.7798_42.2855,38579_41.7798_42.2854,122141,121939,41.77981529,42.28545052,38579,4,117128,1058.651332,Polyline
Casselman River,118164,19F,1,118165,38579_0.1303_0.9002,38579_0.1303_0.9002,119812,119210,0.130349409,0.900229681,38579,6,122705,1615.886724,Polyline
